marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2019 Škoda Karoq,white,PETROL,ŠKODA,KAROQ,AUTOMATIC,80000,19000,QLD,2019
2011 Ford Ranger,silver,DIESEL,FORD,RANGER,MANUAL,212000,14000,QLD,2011
2008 Hyundai Elantra,silver,PETROL,HYUNDAI,ELANTRA,AUTOMATIC,166000,5800,QLD,2008
2013 Suzuki Grand Vitara,white,PETROL,SUZUKI,GRAND VITARA,AUTOMATIC,135000,16500,QLD,2013
2018 Kia Optima,grey,PETROL,KIA,OPTIMA,AUTOMATIC,184000,12500,QLD,2018
2008 Nissan Navara,grey,OTHER,NISSAN,NAVARA,AUTOMATIC,220000,9990,QLD,2008
2015 Nissan Navara,orange,DIESEL,NISSAN,NAVARA,AUTOMATIC,182180,22500,QLD,2015
2006 Lexus is350 japanese import,red,OTHER,LEXUS,ES,AUTOMATIC,90000,17500,QLD,2006
2019 Toyota Kluger,white,PETROL,TOYOTA,KLUGER,AUTOMATIC,113054,35000,QLD,2019
2019 Volkswagen Amarok,blue,DIESEL,VOLKSWAGEN,AMAROK,AUTOMATIC,91153,38900,QLD,2019
1974 Mercedes-Benz 450SEL,silver,PETROL,MERCEDES-BENZ,450SEL,AUTOMATIC,329000,8900,QLD,1974
2014 Holden Calais,black,PETROL,HOLDEN,CALAIS,AUTOMATIC,158000,19800,QLD,2014
2010 Isuzu DMAX,black,DIESEL,ISUZU,DMAX,MANUAL,340000,15000,QLD,2010
2018 Mercedes-Benz Other,black,PETROL,MERCEDES-BENZ,OTHER,AUTOMATIC,46000,25000,QLD,2018
2021 Škoda Karoq,white,PETROL,ŠKODA,KAROQ,AUTOMATIC,80000,17999,QLD,2021
